"Date","Price","Open","High","Low","Vol.","Change %"
"08/31/2018","327.96","327.96","327.96","327.96","","-0.54%"
"08/30/2018","329.74","329.74","329.74","329.74","","-0.41%"
"08/29/2018","331.09","331.09","331.09","331.09","","-0.05%"
"08/28/2018","331.24","331.24","331.24","331.24","","0.88%"
"08/27/2018","328.35","328.35","328.35","328.35","","0.41%"
"08/24/2018","327.02","327.02","327.02","327.02","","-1.32%"
"08/23/2018","331.41","331.41","331.41","331.41","","1.60%"
"08/22/2018","326.20","326.20","326.20","326.20","","0.00%"
"08/21/2018","326.21","326.21","326.21","326.21","","0.04%"
"08/20/2018","326.09","326.09","326.09","326.09","","-0.01%"
"08/17/2018","326.13","326.13","326.13","326.13","","0.13%"
"08/16/2018","325.71","325.71","325.71","325.71","","-0.71%"
"08/15/2018","328.03","328.03","328.03","328.03","","-0.19%"
"08/14/2018","328.64","328.64","328.64","328.64","","-0.01%"
"08/13/2018","328.68","328.68","328.68","328.68","","-1.45%"
"08/10/2018","333.53","333.53","333.53","333.53","","-1.44%"
"08/09/2018","338.39","338.39","338.39","338.39","","0.00%"
"08/08/2018","338.39","338.39","338.39","338.39","","-0.39%"
"08/07/2018","339.70","339.70","339.70","339.70","","1.98%"
"08/06/2018","333.12","333.12","333.12","333.12","","0.87%"
"08/03/2018","330.26","330.26","330.26","330.26","","-0.75%"
"08/02/2018","332.76","332.76","332.76","332.76","","-1.51%"
"08/01/2018","337.85","337.85","337.85","337.85","","0.49%"
"07/31/2018","336.21","336.21","336.21","336.21","","0.18%"
"07/30/2018","335.62","335.62","335.62","335.62","","-0.74%"
"07/27/2018","338.12","338.12","338.12","338.12","","-0.14%"
"07/26/2018","338.59","338.59","338.59","338.59","","0.09%"
"07/25/2018","338.27","338.27","338.27","338.27","","1.24%"
"07/24/2018","334.14","334.14","334.14","334.14","","0.01%"
"07/23/2018","334.10","334.10","334.10","334.10","","-0.11%"
"07/20/2018","334.47","334.47","334.47","334.47","","0.57%"
"07/19/2018","332.59","332.59","332.59","332.59","","1.09%"
"07/18/2018","329.00","329.00","329.00","329.00","","-0.12%"
"07/17/2018","329.41","329.41","329.41","329.41","","0.32%"
"07/16/2018","328.35","328.35","328.35","328.35","","-0.87%"
"07/13/2018","331.24","331.24","331.24","331.24","","0.20%"
"07/12/2018","330.57","330.57","330.57","330.57","","0.10%"
"07/11/2018","330.25","330.25","330.25","330.25","","-1.03%"
"07/10/2018","333.68","333.68","333.68","333.68","","1.38%"
"07/09/2018","329.15","329.15","329.15","329.15","","1.33%"
"07/06/2018","324.83","324.83","324.83","324.83","","-2.24%"
"07/05/2018","332.28","332.28","332.28","332.28","","0.29%"
"07/04/2018","331.32","331.32","331.32","331.32","","0.42%"
"07/03/2018","329.94","329.94","329.94","329.94","","-0.05%"
"07/02/2018","330.12","330.12","330.12","330.12","","-1.03%"
"06/29/2018","333.57","333.57","333.57","333.57","","0.49%"
"06/28/2018","331.93","331.93","331.93","331.93","","0.10%"
"06/27/2018","331.60","331.60","331.60","331.60","","-0.91%"
"06/26/2018","334.65","334.65","334.65","334.65","","0.81%"
"06/25/2018","331.95","331.95","331.95","331.95","","-0.84%"
"06/22/2018","334.77","334.77","334.77","334.77","","-0.42%"
"06/21/2018","336.19","336.19","336.19","336.19","","-0.59%"
"06/20/2018","338.18","338.18","338.18","338.18","","0.28%"
"06/19/2018","337.23","337.23","337.23","337.23","","-0.71%"
"06/18/2018","339.63","339.63","339.63","339.63","","-1.03%"
"06/15/2018","343.17","343.17","343.17","343.17","","0.01%"
"06/14/2018","343.15","343.15","343.15","343.15","","-1.56%"
"06/13/2018","348.59","348.59","348.59","348.59","","-1.13%"
"06/12/2018","352.56","352.56","352.56","352.56","","-0.35%"
"06/11/2018","353.81","353.81","353.81","353.81","","0.05%"
"06/08/2018","353.63","353.63","353.63","353.63","","-1.17%"
"06/07/2018","357.83","357.83","357.83","357.83","","0.11%"
"06/06/2018","357.45","357.45","357.45","357.45","","-0.55%"
"06/05/2018","359.41","359.41","359.41","359.41","","0.59%"
"06/04/2018","357.31","357.31","357.31","357.31","","1.24%"
"06/01/2018","352.95","352.95","352.95","352.95","","-0.12%"
"05/31/2018","353.39","353.39","353.39","353.39","","-0.21%"
"05/30/2018","354.12","354.12","354.12","354.12","","-2.32%"
"05/29/2018","362.54","362.54","362.54","362.54","","0.00%"
"05/28/2018","362.53","362.53","362.53","362.53","","0.09%"
"05/25/2018","362.21","362.21","362.21","362.21","","-0.30%"
"05/24/2018","363.30","363.30","363.30","363.30","","1.02%"
"05/23/2018","359.63","359.63","359.63","359.63","","-1.61%"
"05/22/2018","365.52","365.52","365.52","365.52","","-0.38%"
"05/21/2018","366.91","366.91","366.91","366.91","","0.56%"
"05/18/2018","364.85","364.85","364.85","364.85","","-0.22%"
"05/17/2018","365.66","365.66","365.66","365.66","","0.23%"
"05/16/2018","364.82","364.82","364.82","364.82","","-0.25%"
"05/15/2018","365.75","365.75","365.75","365.75","","-0.78%"
"05/14/2018","368.62","368.62","368.62","368.62","","-0.32%"
"05/11/2018","369.79","369.79","369.79","369.79","","1.22%"
"05/10/2018","365.35","365.35","365.35","365.35","","-0.20%"
"05/09/2018","366.10","366.10","366.10","366.10","","0.11%"
"05/08/2018","365.70","365.70","365.70","365.70","","0.05%"
"05/07/2018","365.53","365.53","365.53","365.53","","-0.33%"
"05/04/2018","366.74","366.74","366.74","366.74","","-0.90%"
"05/03/2018","370.08","373.81","373.81","370.08","","-1.00%"
"05/02/2018","373.81","373.81","373.81","373.81","","-0.18%"
"05/01/2018","374.47","374.47","374.47","374.47","","0.01%"
"04/30/2018","374.45","374.45","374.45","374.45","","1.12%"
"04/27/2018","370.29","370.29","370.29","370.29","","0.37%"
"04/26/2018","368.92","368.92","368.92","368.92","","-0.01%"
"04/25/2018","368.97","368.97","368.97","368.97","","-0.43%"
"04/24/2018","370.56","370.56","370.56","370.56","","-0.13%"
"04/23/2018","371.05","371.05","371.05","371.05","","0.11%"
"04/20/2018","370.64","370.64","370.64","370.64","","-0.82%"
"04/19/2018","373.70","373.70","373.70","373.70","","1.34%"
"04/18/2018","368.77","362.25","368.77","362.25","","1.80%"
"04/17/2018","362.25","362.25","362.25","362.25","","0.17%"
"04/16/2018","361.65","361.65","361.65","361.65","","-0.06%"
"04/13/2018","361.86","361.86","361.86","361.86","","1.09%"
"04/12/2018","357.96","357.96","357.96","357.96","","-0.40%"
"04/11/2018","359.38","359.38","359.38","359.38","","0.41%"
"04/10/2018","357.90","357.90","357.90","357.90","","0.45%"
"04/09/2018","356.28","356.28","356.28","356.28","","0.33%"
"04/06/2018","355.12","355.12","355.12","355.12","","1.18%"
"04/05/2018","350.97","350.97","350.97","350.97","","2.25%"
"04/04/2018","343.25","343.25","343.25","343.25","","-2.45%"
"04/03/2018","351.86","351.86","351.86","351.86","","-0.68%"
"04/02/2018","354.26","354.26","354.26","354.26","","0.01%"
"03/30/2018","354.22","354.22","354.22","354.22","","0.00%"
"03/29/2018","354.22","354.22","354.22","354.22","","1.58%"
"03/28/2018","348.70","348.70","348.70","348.70","","-1.89%"
"03/27/2018","355.42","355.42","355.42","355.42","","0.89%"
"03/26/2018","352.28","352.28","352.28","352.28","","-0.19%"
"03/23/2018","352.95","352.95","352.95","352.95","","-2.19%"
"03/22/2018","360.85","360.85","360.85","360.85","","-0.64%"
"03/21/2018","363.16","363.16","363.16","363.16","","0.10%"
"03/20/2018","362.79","362.79","362.79","362.79","","0.54%"
"03/19/2018","360.83","360.83","360.83","360.83","","-0.47%"
"03/16/2018","362.54","362.54","362.54","362.54","","-0.22%"
"03/15/2018","363.33","363.33","363.33","363.33","","-0.67%"
"03/14/2018","365.79","365.79","365.79","365.79","","-0.35%"
"03/13/2018","367.07","367.07","367.07","367.07","","0.66%"
"03/12/2018","364.68","364.68","364.68","364.68","","1.61%"
"03/09/2018","358.91","358.91","358.91","358.91","","0.01%"
"03/08/2018","358.88","358.88","358.88","358.88","","0.86%"
"03/07/2018","355.81","355.81","355.81","355.81","","-1.04%"
"03/06/2018","359.54","359.54","359.54","359.54","","1.63%"
"03/05/2018","353.78","353.78","353.78","353.78","","-1.08%"
"03/02/2018","357.65","357.65","357.65","357.65","","-0.98%"
"03/01/2018","361.18","361.18","361.18","361.18","","-0.02%"
"02/28/2018","361.26","361.26","361.26","361.26","","-0.89%"
"02/27/2018","364.51","364.51","364.51","364.51","","-0.70%"
"02/26/2018","367.08","367.08","367.08","367.08","","0.64%"
"02/23/2018","364.76","364.76","364.76","364.76","","1.43%"
"02/22/2018","359.63","359.63","359.63","359.63","","-0.90%"
"02/21/2018","362.90","362.90","362.90","362.90","","1.22%"
"02/20/2018","358.52","360.25","360.25","358.52","","-0.48%"
"02/19/2018","360.25","360.25","360.25","360.25","","1.44%"
"02/16/2018","355.12","355.12","355.12","355.12","","0.00%"
"02/15/2018","355.13","355.13","355.13","355.13","","1.63%"
"02/14/2018","349.45","349.45","349.45","349.45","","-0.31%"
"02/13/2018","350.53","350.53","350.53","350.53","","0.98%"
"02/12/2018","347.13","347.13","347.13","347.13","","0.18%"
"02/09/2018","346.49","346.49","346.49","346.49","","-1.18%"
"02/08/2018","350.62","350.62","350.62","350.62","","1.03%"
"02/07/2018","347.06","347.06","347.06","347.06","","-0.62%"
"02/06/2018","349.22","349.22","349.22","349.22","","-2.23%"
"02/05/2018","357.17","357.17","357.17","357.17","","-1.42%"
"02/02/2018","362.30","362.30","362.30","362.30","","-0.47%"
"02/01/2018","364.01","364.01","364.01","364.01","","0.24%"
"01/31/2018","363.15","363.15","363.15","363.15","","-0.43%"
"01/30/2018","364.72","364.72","364.72","364.72","","-0.90%"
"01/29/2018","368.04","368.04","368.04","368.04","","0.31%"
"01/26/2018","366.89","366.89","366.89","366.89","","-0.21%"
"01/25/2018","367.67","367.67","367.67","367.67","","-1.01%"
"01/24/2018","371.43","371.43","371.43","371.43","","0.53%"
"01/23/2018","369.49","369.49","369.49","369.49","","0.92%"
"01/22/2018","366.13","366.13","366.13","366.13","","0.27%"
"01/19/2018","365.16","365.16","365.16","365.16","","0.97%"
"01/18/2018","361.65","361.65","361.65","361.65","","-0.59%"
"01/17/2018","363.81","363.81","363.81","363.81","","-0.20%"
"01/16/2018","364.55","364.55","364.55","364.55","","0.47%"
"01/15/2018","362.86","362.86","362.86","362.86","","0.43%"
"01/12/2018","361.31","361.31","361.31","361.31","","0.20%"
"01/11/2018","360.58","360.58","360.58","360.58","","-0.18%"
"01/10/2018","361.24","361.24","361.24","361.24","","0.02%"
"01/09/2018","361.18","361.18","361.18","361.18","","0.25%"
"01/08/2018","360.28","360.28","360.28","360.28","","0.51%"
"01/05/2018","358.45","358.45","358.45","358.45","","-0.33%"
"01/04/2018","359.62","359.62","359.62","359.62","","1.22%"
"01/03/2018","355.30","351.33","355.30","351.33","","1.13%"
"01/02/2018","351.33","351.33","351.33","351.33","","1.08%"
"12/29/2017","347.58","347.58","347.58","347.58","","0.08%"
"12/28/2017","347.31","347.31","347.31","347.31","","0.34%"
"12/27/2017","346.12","346.12","346.12","346.12","","0.46%"
"12/26/2017","344.54","344.54","344.54","344.54","","-0.18%"
"12/25/2017","345.15","345.15","345.15","345.15","","0.00%"
"12/22/2017","345.15","345.15","345.15","345.15","","0.17%"
"12/21/2017","344.58","344.58","344.58","344.58","","-0.44%"
"12/20/2017","346.09","346.09","346.09","346.09","","-0.09%"
"12/19/2017","346.41","346.41","346.41","346.41","","-0.07%"
"12/18/2017","346.65","346.65","346.65","346.65","","-0.03%"
"12/15/2017","346.75","346.75","346.75","346.75","","-0.70%"
"12/14/2017","349.20","349.20","349.20","349.20","","-0.93%"
"12/13/2017","352.48","352.48","352.48","352.48","","0.18%"
"12/12/2017","351.84","351.84","351.84","351.84","","0.27%"
"12/11/2017","350.88","350.88","350.88","350.88","","0.96%"
